"['a', 'b', 'b', 'c']",a b b c,0.25,[]
"['a', 'b', 'b', 'c']",b b c,0,[]
"['a', 'b', 'b', 'c']",a b c,0.25,[]
"['a', 'b', 'b', 'c']",b c,0,[]
"['a', 'b', 'b', 'c']",a b c,0.25,[]
"['a', 'b', 'b', 'c']",b c,0,[]
"['a', 'b', 'b', 'c']",a c,0.25,['a c']
"['a', 'b', 'b', 'c']",c,0,[]
"['a', 'b', 'b', 'c']",a b b,0,[]
"['a', 'b', 'b', 'c']",b b,0,[]
"['a', 'b', 'b', 'c']",a b,0,[]
"['a', 'b', 'b', 'c']",b,0,[]
"['a', 'b', 'b', 'c']",a b,0,[]
"['a', 'b', 'b', 'c']",b,0,[]
"['a', 'b', 'b', 'c']",a,0,[]
"['a', 'b', 'b', 'c']",,0,[]
"['a', 'b', 'c']",a b c,0.5,[]
"['a', 'b', 'c']",b c,0,[]
"['a', 'b', 'c']",a c,0.5,['a c']
"['a', 'b', 'c']",c,0,[]
"['a', 'b', 'c']",a b,0,[]
"['a', 'b', 'c']",b,0,[]
"['a', 'b', 'c']",a,0,[]
"['a', 'b', 'c']",,0,[]
"['a', 'c']",a c,1,['a c']
"['a', 'c']",c,0,[]
"['a', 'c']",a,0,[]
"['a', 'c']",,0,[]
"['c', 'a']",c a,1,[]
"['c', 'a']",a,0,[]
"['c', 'a']",c,0,[]
"['c', 'a']",,0,[]
